"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/how-much-sleep-do-you-actually-need/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/41/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/43/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/21/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/31/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/breaking-down-binaural-beats/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/33/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/23/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/11/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/6/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/14/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/8/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/36/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://bettersleep.com/fr/meditationpourdormir","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.bettersleep.com/blog/page/24/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/signin","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/better-sleep-your-secret-weapon-for-academic-success/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/morning-meditation/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/dream-dive-being-chased/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/combinations-of-water-sounds-to-mix-together-to-relax-before-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/chakras-explained-how-to-keep-chakras-in-alignment/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-vocal-asmr-sounds-to-add-to-your-relaxation-mix/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-high-functioning-anxiety-can-affect-your-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-use-a-grounding-meditation-to-feel-safer/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-importance-of-play-building-a-blanket-fort/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-use-sleep-sounds-to-build-ambience/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/your-melatonin-questions-answered/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/mindfulness-music-for-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/reduce-stress-with-meditation/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/september-full-moon-meditation/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/can-we-sleep-our-way-to-happiness/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/obstructive-sleep-apnea-effect-on-healthy-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/relaxation-techniques-a-guide-to-get-rid-of-stress-and-anxiety/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/is-having-a-sleep-pattern-necessary-what-you-need-to-know/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/pillow-fluffing-its-important/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-prevent-anxiety-dreams/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/more-of-the-best-quotes-on-insomnia/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-is-the-best-music-to-listen-to-while-sleeping/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-is-restless-leg-syndrome-and-what-does-it-have-to-do-with-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/achieving-emotional-release/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-use-baoding-balls-to-get-the-most-out-of-meditation/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/emotional-wellness-toolkit/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/gregorian-chants-relaxation-and-meditation/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-is-the-ideal-time-to-wake-up/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-a-mood-tracker-can-help-and-how-to-make-one/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/dream-dive-pets/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/binaural-beats-for-anxiety/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/water-before-bed-what-you-should-know/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-bedtime-snacks-to-eat-before-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/waking-up-dizzy-should-i-be-concerned/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-is-somniphobia/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-set-up-your-bedroom-for-optimal-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep-and-hypertension-what-you-need-to-know/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/8-ways-to-have-good-mental-wellness-with-a-hectic-life/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/deepen-your-meditation-practice-with-tibetan-singing-bowls/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/time-to-focus-white-noise/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/can-your-blood-pressure-make-you-sleepy/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-practices-for-maintaining-good-mental-health/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/improve-your-mood-with-these-5-sound-mixes/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/bedtime-activities-that-will-help-you-fall-asleep-faster/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-stop-nightmares/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meet-the-team-12-questions-with-a-sound-designer/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/and-then-when-you-sleepy-momma-feel-so-fine-how-to-help-your-child-or-teen-overcome-their-insomnia/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep-deprivation-and-health/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/immersive-soundscapes-to-fall-asleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/julys-full-moon/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/dream-dive-mice-and-rats/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/10-sleeping-tips-that-will-help-you-sleep-better/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/spa-music-for-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/discover-new-bedtime-stories-on-relax-melodies/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/healing-meditation-for-trauma-with-yoga-nidra/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-bathtime-rituals-to-help-you-relax/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/five-simple-mindfulness-tips-to-melt-away-stress-anxiety/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meditation-astrology/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-are-wellness-centers/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/is-your-sleep-position-good-for-you/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-sleep-hunger-influence-each-other/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/is-caffeine-for-you-what-you-should-know/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-is-mental-health-coaching-and-do-i-need-it/","text/html","200","OK","Non-Indexable","Canonicalised"
