"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.columbusrecoverycenter.com/drug-addiction-hotline/","Success","","18","4380.000","18041.348","7384.000","28952.000","7833.500","0.000","1978717","16100","214","3863739","81930","7","579453","19","255726","41","2635858","118","269904","9","0","0","40868","20","2962063","147","","","","","","2461","1950","300","150","0","0","910","4660","900","730","0","4039","0","0","0","3300","34545","7 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","Success","","33","3090.000","7307.019","4757.000","19281.500","1865.000","0.078","801744","6885","172","2630523","57201","7","319217","14","118218","30","1989999","103","132070","5","0","0","13818","13","2145647","136","","","","","","1068","600","0","40","0","0","490","2960","340","0","0","1387","0","0","0","980","34372","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/recovery-blog/","Success","","38","3090.000","5459.325","4793.500","18520.500","1381.000","0.006","1299193","7337","164","2714239","51687","6","708287","19","118218","30","1690857","92","132070","5","0","0","13120","12","1820831","121","","","","","","1264","1350","0","1500","0","0","150","2060","750","0","0","263","0","0","0","3600","34355","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/blog/adderall-and-alcohol/","Success","","18","4230.000","13135.019","8467.000","36636.500","24350.000","0.007","1212151","5269","193","2978627","56176","6","626837","17","207924","40","1842207","110","230984","6","0","0","14499","14","2063528","127","","","","","","1886","1700","0","150","0","0","650","150","450","0","0","283","0","0","0","2300","34176","7 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/facility/","Success","","22","3240.000","12121.880","6871.000","27996.500","3966.500","0.000","1480159","8821","219","3923715","80558","9","563354","17","240936","39","2846037","128","151813","5","0","0","41017","21","2984989","158","","","","","","1419","830","0","0","0","0","900","5000","410","0","0","262","0","0","0","1240","34307","6 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/alcohol-addiction-resource-guide/","Success","","42","3090.000","8741.394","3813.000","17208.000","1094.500","0.078","820088","8428","157","2320658","53869","6","325062","13","118237","30","1690260","92","120094","4","0","0","13136","12","1808298","120","","","","","","1293","2100","0","140","0","0","150","2200","300","0","0","2245","0","0","0","2540","34369","7 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/admissions/faqs/","Success","","25","3780.000","13385.207","7889.000","20796.500","1215.500","0.000","1288038","13121","193","3135314","56863","6","783660","19","207947","40","1842738","110","230984","6","0","0","13122","12","2068746","125","","","","","","1957","2250","0","0","0","0","750","2850","900","0","0","4414","0","0","0","3150","34403","7 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/admissions/insurance/","Success","","30","3240.000","8333.067","4681.000","28426.500","4137.000","0.005","1349948","11777","192","3918024","103869","8","296448","14","214118","32","3082756","104","155420","7","0","0","65413","27","3436968","156","","","","","","1230","1500","0","0","0","0","600","7440","150","600","0","257","0","0","0","1650","34545","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/newark/","Success","","33","3513.500","9887.316","4612.000","19324.000","1364.500","0.021","792505","8262","171","2622802","57358","7","313210","13","118218","30","1988129","103","132070","5","0","0","13817","13","2137768","135","","","","","","1172","1100","0","150","0","0","300","2720","150","0","0","2670","0","0","0","1400","34401","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/marijuana-abuse-resources/","Success","","32","3355.500","8048.134","4746.000","18017.500","1939.500","0.026","831767","6717","157","2328019","51694","6","333934","13","118217","30","1690943","92","120093","4","0","0","13138","12","1808956","120","","","","","","1185","1680","0","0","0","0","150","2000","0","0","0","1702","0","0","0","1680","34371","7 resources found","5 elements found"
