"Address","Status Code","Title 1","Indexability","Indexability Status","Clicks","Impressions","CTR","Position"
"https://www.bettersleep.com/blog/soothing-music-for-your-pets-1/","200","Soothing Music for Your Pets | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/relaxation","301","","Non-Indexable","Redirected","0","42","0.000","20.310"
"https://www.bettersleep.com/blog/how-rain-helps-relaxation-and-sleep/","200","How Rain Helps Relaxation and Sleep | BetterSleep","Non-Indexable","Canonicalised","0","26","0.000","25.080"
"https://www.bettersleep.com/blog/the-best-vocal-asmr-sounds-to-add-to-your-relaxation-mix/","200","The Best Vocal ASMR Sounds to Add To Your Relaxation Mix | BetterSleep","Non-Indexable","Canonicalised","1","220","0.004","31.500"
"https://www.bettersleep.com/blog/sleep/page/8/","200","Sleep","Indexable","","0","10","0.000","13.900"
"https://www.bettersleep.com/blog/sleepwalking-in-kids/","200","Sleepwalking in Kids | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/sleep/page/6/","200","Sleep","Indexable","","0","3","0.000","29.330"
"https://www.bettersleep.com/blog/sleep/page/20/","200","Sleep","Indexable","","0","3","0.000","49.330"
"https://www.bettersleep.com/blog/sleep/page/22/","200","Sleep","Indexable","","0","1","0.000","10.000"
"https://www.bettersleep.com/blog/sleep/page/10/","200","Sleep","Indexable","","0","2","0.000","5.000"
"https://www.bettersleep.com/blog/sleep/page/4/","200","Sleep","Indexable","","0","38","0.000","4.290"
"https://www.bettersleep.com/blog/dream-dive-mice-and-rats/","200","Dream Dive: Mice and Rats | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/sleep/page/2/","200","Sleep","Indexable","","0","1","0.000","90.000"
"https://www.bettersleep.com/blog/sleep/page/12/","200","Sleep","Indexable","","","","",""
"https://www.bettersleep.com/blog/sleep/page/24/","200","Sleep","Indexable","","0","1","0.000","73.000"
"https://www.bettersleep.com/blog/sleep/page/14/","200","Sleep","Indexable","","0","3","0.000","61.330"
"https://www.bettersleep.com/blog/sleep/page/26/","200","Sleep","Indexable","","","","",""
"https://www.bettersleep.com/blog/sleep/page/16/","200","Sleep","Indexable","","0","1","0.000","84.000"
