"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.bettersleep.com/blog/page/20/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.198","",""
"https://www.bettersleep.com/blog/page/32/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.205","",""
"https://www.bettersleep.com/blog/page/40/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.159","",""
"https://www.bettersleep.com/blog/page/10/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.179","",""
"https://www.bettersleep.com/blog/page/30/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.275","",""
"https://www.bettersleep.com/blog/page/4/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.153","",""
"https://www.bettersleep.com/blog/page/18/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.118","",""
"https://www.bettersleep.com/blog/page/28/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.173","",""
"https://www.bettersleep.com/blog/page/2/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.177","",""
"https://www.bettersleep.com/blog/page/38/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.141","",""
"https://my.bettersleep.com/gift","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","9","0.209","",""
"https://www.bettersleep.com/blog/page/26/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.205","",""
"https://www.instagram.com/bettersleep_jp/","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","2","0.059","https://www.instagram.com/accounts/login/?next=/bettersleep_jp/","HTTP Redirect"
"https://www.bettersleep.com/blog/page/16/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.162","",""
"https://www.bettersleep.com/fr/cadeau/","text/html","200","OK","Non-Indexable","noindex","3","0.180","",""
"https://twitter.com/BetterSleepJP","text/html; charset=utf-8","200","OK","Indexable","","2","0.064","",""
"https://www.ipnos.com/privacy-policy-ja/","text/html; charset=UTF-8","200","OK","Indexable","","4","0.285","",""
"https://www.youtube.com/channel/UC_vWrsG_egI42Z_M5TbId2A","text/html; charset=utf-8","200","OK","Indexable","","2","0.093","",""
"https://www.ipnos.com/privacy-policy-ja","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","2","0.380","https://www.ipnos.com/privacy-policy-ja/","HTTP Redirect"
"https://www.youtube.com/channel/UCD-R2C8WfLQ59RIh03hmqng","text/html; charset=utf-8","200","OK","Indexable","","2","0.091","",""
"https://www.instagram.com/bettersleep_ru/","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","2","0.071","https://www.instagram.com/accounts/login/?next=/bettersleep_ru/","HTTP Redirect"
"https://www.facebook.com/BetterSleepJP","text/html; charset=""utf-8""","200","OK","Indexable","","2","0.233","",""
"https://twitter.com/BetterSleepRu","text/html; charset=utf-8","200","OK","Indexable","","2","0.068","",""
"https://www.bettersleep.com/ja/partners/","text/html","200","OK","Indexable","","14","0.110","",""
"https://www.bettersleep.com/es/duerme-mejor/","text/html","200","OK","Indexable","","24","0.147","",""
"https://www.bettersleep.com/fr/sommeil/","text/html","200","OK","Indexable","","33","0.210","",""
"https://www.facebook.com/BetterSleepRU","text/html; charset=""utf-8""","200","OK","Indexable","","2","0.234","",""
"https://www.bettersleep.com/sleep-better/bedtime-stories/","text/html","200","OK","Indexable","","9","0.255","",""
"https://www.bettersleep.com/pt/durma_melhor/","text/html","200","OK","Indexable","","24","0.245","",""
"https://trends.google.com/trends/explore?date=2018-01-01%202021-02-19&geo=US&q=quarantine,social%20distancing,isolation,lockdown","text/html; charset=utf-8","429","unknown","Non-Indexable","Client Error","2","0.086","",""
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","text/html","200","OK","Non-Indexable","Canonicalised","18","0.262","",""
"https://www.bettersleep.com/ru/partners/","text/html","200","OK","Indexable","","14","0.113","",""
"https://www.bettersleep.com/blog/how-covid-19-is-affecting-our-rest-and-what-we-can-do-to-sleep-better-relax-melodies/","text/html","200","OK","Non-Indexable","Canonicalised","12","0.167","",""
"https://www.epa.gov/report-environment/indoor-air-quality","text/html; charset=UTF-8","200","OK","Indexable","","4","0.094","",""
"https://www.bettersleep.com/blog/meditating-with-adhd/","text/html","200","OK","Non-Indexable","Canonicalised","859","0.122","",""
"https://dictionaryblog.cambridge.org/2020/11/24/cambridge-dictionarys-word-of-the-year-2020/","text/html; charset=UTF-8","200","OK","Indexable","","2","0.220","",""
"https://www.bettersleep.com/blog/meditation/","text/html","200","OK","Indexable","","910","0.157","",""
"https://www.bettersleep.com/blog/sound/","text/html","200","OK","Indexable","","887","0.279","",""
"https://www.bettersleep.com/blog/what-to-know-about-fever-dreams/","text/html","200","OK","Non-Indexable","Canonicalised","203","0.179","",""
"https://onelink.bettersleep.com/YXAm?pid=web&c=web&af_js_web=true","application/octet-stream","302","Found","Non-Indexable","Redirected","2","0.551","https://play.google.com/store/apps/details?id=ipnossoft.rma.free&hl=en_CA&gl=US&pid=web&c=web&af_js_web=true","HTTP Redirect"
"https://www.bettersleep.com/blog/your-guide-to-amazing-cuddles/","text/html","200","OK","Non-Indexable","Canonicalised","858","0.156","",""
"https://www.bettersleep.com/blog/sounds/","text/html","200","OK","Indexable","","885","0.164","",""
"https://onelink.bettersleep.com/iqF4?pid=web&c=web&af_js_web=true","application/octet-stream","302","Found","Non-Indexable","Redirected","2","0.574","https://apps.apple.com/US/app/id314498713?mt=8","HTTP Redirect"
"https://www.bettersleep.com/blog/why-do-babies-cry-in-their-sleep/","text/html","200","OK","Non-Indexable","Canonicalised","562","0.168","",""
"https://www.bettersleep.com/blog/your-mattress-questions-answered/","text/html","200","OK","Non-Indexable","Canonicalised","6","0.170","",""
"https://www.bettersleep.com/blog/sleep/","text/html","200","OK","Indexable","","912","0.168","",""
"https://www.bettersleep.com/blog/sleep","text/html","301","Moved Permanently","Non-Indexable","Redirected","214","0.119","https://www.bettersleep.com/blog/sleep/","HTTP Redirect"
"https://www.bettersleep.com/blog/news/","text/html","200","OK","Indexable","","888","0.177","",""
"https://www.bettersleep.com/blog/waking-up-thirsty/","text/html","200","OK","Non-Indexable","Canonicalised","208","0.192","",""
"https://www.bettersleep.com/blog/relaxation/","text/html","200","OK","Indexable","","913","0.164","",""
"https://www.bettersleep.com/blog/dream-dive-bears/","text/html","200","OK","Non-Indexable","Canonicalised","6","0.120","",""
"https://www.bettersleep.com/blog/how-to-stay-focused-while-studying/","text/html","200","OK","Non-Indexable","Canonicalised","503","0.131","",""
"https://www.bettersleep.com/blog/5-benefits-of-stretching-in-the-morning/","text/html","200","OK","Non-Indexable","Canonicalised","867","0.153","",""
"https://www.instagram.com/bettersleep_es/","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","36","0.062","https://www.instagram.com/accounts/login/?next=/bettersleep_es/","HTTP Redirect"
"https://www.bettersleep.com/es/sonidos-para-dormir/","text/html","200","OK","Indexable","","24","0.164","",""
"https://twitter.com/BetterSleepES","text/html; charset=utf-8","200","OK","Indexable","","36","0.068","",""
"https://www.ipnos.com/privacy-policy-es","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","36","0.316","https://www.ipnos.com/privacy-policy-es/","HTTP Redirect"
"https://www.bettersleep.com/es/blog/","text/html","200","OK","Non-Indexable","Canonicalised","244","0.145","",""
"https://www.youtube.com/channel/UCYuYzryODsZvlmYha76oDmw","text/html; charset=utf-8","200","OK","Indexable","","36","0.089","",""
"https://www.bettersleep.com/es/relajacion-y-meditacion/","text/html","200","OK","Indexable","","24","0.158","",""
"https://www.ipnos.com/privacy-policy-es/","text/html; charset=UTF-8","200","OK","Indexable","","72","0.367","",""
"https://www.bettersleep.com/es/partners/","text/html","200","OK","Indexable","","48","0.116","",""
"https://apps.apple.com/US/app/id314498713?mt=8","text/html; charset=utf-8","200","OK","Indexable","","0","0.091","",""
"https://www.bettersleep.com/fr/meditationpourdormir/","text/html","200","OK","Indexable","","29","0.161","",""
"https://www.facebook.com/BetterSleepEs","text/html; charset=""utf-8""","200","OK","Indexable","","36","0.327","",""
"https://www.bettersleep.com/sleep-sounds/nature-sounds-to-fall-asleep/","text/html","200","OK","Indexable","","7","0.154","",""
"https://www.bettersleep.com/sleep-sounds/white-noises/","text/html","200","OK","Indexable","","15","0.157","",""
"https://www.bettersleep.com/pt/sons-para-dormir/","text/html","200","OK","Indexable","","24","0.179","",""
"https://my.bettersleep.com/styles.8c2d6fa6db6bbd4c012e.css","text/css","200","OK","Indexable","","0","0.060","",""
"https://www.bettersleep.com/blog/what-are-circadian-rhythms/","text/html","200","OK","Non-Indexable","Canonicalised","10","0.151","",""
"https://my.bettersleep.com/main-es5.dd0fd2cd70ad3df1b577.js","application/javascript","200","OK","Indexable","","0","0.069","",""
"https://my.bettersleep.com/assets/css/intlTelInput.min.css","text/css","200","OK","Indexable","","0","0.079","",""
"https://www.bettersleep.com/blog/how-much-sleep-do-you-actually-need/","text/html","200","OK","Non-Indexable","Canonicalised","12","0.151","",""
"https://my.bettersleep.com/main-es2015.dd0fd2cd70ad3df1b577.js","application/javascript","200","OK","Indexable","","0","0.278","",""
"https://my.bettersleep.com/runtime-es2015.b14183839ba53a99e788.js","application/javascript","200","OK","Indexable","","0","0.059","",""
"https://my.bettersleep.com/scripts.7a91ca59dc9f2c829879.js","application/javascript","200","OK","Indexable","","0","0.068","",""
"https://my.bettersleep.com/polyfills-es2015.940de66d973687c626a1.js","application/javascript","200","OK","Indexable","","0","0.302","",""
"https://www.googletagmanager.com/gtag/js?id=G-SQGQT1ME3T","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.135","",""
"https://checkout.stripe.com/checkout.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.049","",""
"https://my.bettersleep.com/assets/fonts/font.css","text/css","200","OK","Indexable","","0","0.080","",""
"https://my.bettersleep.com/runtime-es5.b14183839ba53a99e788.js","application/javascript","200","OK","Indexable","","0","0.224","",""
"https://cdn.jsdelivr.net/npm/hls.js@latest/dist/hls.min.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.059","",""
"https://js.stripe.com/v3/","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.052","",""
"https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css","text/css; charset=utf-8","200","OK","Indexable","","0","0.063","",""
"https://my.bettersleep.com/polyfills-es5.71112eb9453e2fcc4065.js","application/javascript","200","OK","Indexable","","0","0.362","",""
"https://cdn.cookielaw.org/scripttemplates/otSDKStub.js","application/javascript","200","OK","Indexable","","0","0.055","",""
"https://www.bettersleep.com/blog/page/41/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.165","",""
"https://www.bettersleep.com/blog/page/43/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.163","",""
"https://www.bettersleep.com/blog/page/21/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.195","",""
"https://www.bettersleep.com/blog/page/31/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.167","",""
"https://www.bettersleep.com/blog/breaking-down-binaural-beats/","text/html","200","OK","Non-Indexable","Canonicalised","101","0.169","",""
"https://www.bettersleep.com/blog/page/33/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.119","",""
"https://www.bettersleep.com/blog/page/23/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.179","",""
"https://www.bettersleep.com/blog/page/11/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.155","",""
"https://www.bettersleep.com/blog/page/6/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.122","",""
"https://www.bettersleep.com/cdn-cgi/styles/cf.errors.css","text/css","200","OK","Indexable","","0","0.055","",""
"https://www.bettersleep.com/blog/page/14/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.157","",""
"https://www.bettersleep.com/blog/page/8/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.178","",""
"https://www.bettersleep.com/blog/page/36/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.189","",""
"https://bettersleep.com/fr/meditationpourdormir","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.205","https://bettersleep.com/fr/meditationpourdormir/","HTTP Redirect"
"https://www.bettersleep.com/blog/page/24/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.162","",""
"https://my.bettersleep.com/signin","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","6","0.125","",""
"https://psycnet.apa.org/doiLanding?doi=10.1037%2Fcns0000176","text/html; charset=UTF-8","200","OK","Indexable","","2","0.084","",""
"https://my.bettersleep.com/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","3","0.114","",""
"https://www.sciencedirect.com/science/article/abs/pii/S1053810016301283","text/html; charset=utf-8","200","OK","Indexable","","2","0.314","",""
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6993576/","text/html; charset=iso-8859-1","302","Found","Non-Indexable","Redirected","1","0.185","https://misuse.ncbi.nlm.nih.gov/error/abuse.shtml","HTTP Redirect"
"https://www.nccih.nih.gov/health/meditation-in-depth","text/html","200","OK","Indexable","","5","0.195","",""
