"Crawl Overview Report by the Screaming Frog SEO Spider (11.3)"
"Site Crawled","https://clubs.scholastic.com/lego-8-brick-storage-box/40061730-T-rco-us.html"
"Date","Sunday, Jun 7, 2020"
"Time","18:50:42 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"URLs in Sitemap","0","0.00%","944","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","944","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","944","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","944","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","944","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","944","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","944","Internal HTML/XML pages"
""
"Custom"
"Filter 1","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 2","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 3","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 4","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 5","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 6","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 7","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 8","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 9","0","0.00%","545","Internal HTML pages with 2xx response"
"Filter 10","0","0.00%","545","Internal HTML pages with 2xx response"
"Extraction","0","0.00%","545","Internal HTML pages with 2xx response"
""
"Analytics"
"All","927","100.00%","927","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","927","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","927","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","927","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","927","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","927","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","927","100.00%","927","Internal URLs with associated Google Search Console data"
"Clicks Above 0","5","0.54%","927","Internal URLs with associated Google Search Console data"
"No GSC Data","922","99.46%","927","Internal URLs with associated Google Search Console data"
"Non-Indexable with GSC Data","1","0.11%","927","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","927","Internal URLs with associated Google Search Console data"
""
"Link Metrics"
"All","944","100.00%","944","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","538","98.72%","545","Internal HTML pages with 2xx response"
"1","7","1.28%","545","Internal HTML pages with 2xx response"
"2","0","0.00%","545","Internal HTML pages with 2xx response"
"3","0","0.00%","545","Internal HTML pages with 2xx response"
"4","0","0.00%","545","Internal HTML pages with 2xx response"
"5","0","0.00%","545","Internal HTML pages with 2xx response"
"6","0","0.00%","545","Internal HTML pages with 2xx response"
"7","0","0.00%","545","Internal HTML pages with 2xx response"
"8","0","0.00%","545","Internal HTML pages with 2xx response"
"9","0","0.00%","545","Internal HTML pages with 2xx response"
"10+","0","0.00%","545","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://clubs.scholastic.com/home","542","99.45%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/mindfulness-in-a-jar/84365-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/space-stories-pack/9781338624618-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/esperanza-rising/9780439120425-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/teacher-favorites-3rd-grade/","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/ten-lucky-ladybugs/9781338116878-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/kingdom-hearts%3A-chain-of-memories-pack/9781338154672-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/classroom-organization/","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/red-queen-%234%3A-war-storm/9780062422996-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/the-baby-sitters-club-graphix-%232%3A-the-truth-about-stacey/9780545813891-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/shop-teacher-resources/","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/freak-the-mighty/9780590474139-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/the-skin-i’m-in/9781338357790-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/what’s-in-the-piggy-bank%3F-book-plus-play-us-money/9781338351590-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/the-word-collector/9781338331578-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/viva-frida-%28bilingual%29/9780545856317-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/national-geographic-kids™%3A-foxes/9781338597011-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/safari-friends-extra-large-library-pockets/CTP7075-T-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/erin-entrada-kelly-trio/9781338537376-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
"https://clubs.scholastic.com/sight-words-1−50%3A-grades-prek−2/TCR77877-rco-us.html","1","0.18%","545","Internal HTML pages with a 2xx response or 3xx responses"
""
"Response Time (Seconds)","Number of URLs","% of Total"
"1","943","99.89"
"2","1","0.11"
