"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.bettersleep.com/sleep-better/bedtime-stories/","Success","","30","2040.000","4436.027","7173.000","10078.000","5440.500","0.163","322034","1974","35","832541","105789","1","50581","6","0","0","506314","15","131276","2","0","0","38581","11","547152","30","","","","","","0","0","0","0","0","0","0","1840","0","0","0","134","0","0","0","0","25069","","5 elements found"
"https://www.bettersleep.com/pt/durma_melhor/","Success","","48","1619.000","3329.464","6316.500","7950.500","1021.000","0.023","332553","2239","37","834049","108318","1","49276","8","0","0","505982","15","131282","2","0","0","39191","11","547280","30","","","","","","0","150","0","0","0","0","0","1930","0","0","0","159","0","0","0","150","25068","3 resources found","1 element found"
"https://www.bettersleep.com/ja/partners/","Success","","22","5496.000","6703.963","14130.000","12469.500","2518.000","0.047","2931086","12414","34","2626240","852833","1","1095114","5","0","0","506993","15","131294","2","0","0","40006","11","549256","30","","","","","","0","0","4360","0","0","0","0","2750","4960","0","0","344","0","0","0","9320","25068","","1 element found"
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","Success","","24","2310.000","7554.204","4680.000","15778.000","3114.500","0.351","1083631","6768","72","1993597","148886","2","365332","24","47941","1","1159386","21","206343","4","0","0","65709","20","1312968","48","Fail","2203.000","13.000","2208.000","0.190","0","1350","0","150","0","0","150","4950","0","0","0","168","0","0","0","1500","25069","6 resources found","5 elements found"
"https://www.bettersleep.com/blog/how-covid-19-is-affecting-our-rest-and-what-we-can-do-to-sleep-better-relax-melodies/","Success","","22","2279.000","6218.433","5505.000","12944.000","8688.000","0.374","642374","1426","54","1259654","121244","1","399818","24","0","0","505353","15","194657","3","0","0","38582","11","546192","30","","","","","","0","300","0","300","0","0","0","630","0","0","0","196","0","0","0","600","25069","7 resources found","5 elements found"
"https://www.bettersleep.com/es/sonidos-para-dormir/","Success","","42","1637.000","3165.000","6440.000","8294.500","2084.000","0.030","327372","2046","36","828365","107439","1","44205","6","0","0","506232","15","131280","2","0","0","39209","12","547220","30","","","","","","0","150","0","0","0","0","0","1720","0","0","0","176","0","0","0","150","25021","2 resources found","1 element found"
"https://www.bettersleep.com/ru/partners/","Success","","18","5483.000","8157.238","14355.000","14505.000","6410.500","0.065","2929975","10352","34","2626723","853190","1","1095106","5","0","0","506361","15","131280","2","0","0","40786","11","549404","30","","","","","","0","0","3980","0","0","0","0","1730","4260","0","0","382","0","0","0","8240","25069","","1 element found"
"https://www.bettersleep.com/es/blog/","Success","","67","1555.000","2920.756","3705.000","7896.000","498.500","0.150","472084","3114","53","1436204","118139","1","640592","24","0","0","506988","15","131288","2","0","0","39197","11","548292","30","","","","","","0","0","0","600","0","0","0","2350","0","0","0","164","0","0","0","600","25068","14 resources found","4 elements found"
"https://www.bettersleep.com/es/relajacion-y-meditacion/","Success","","59","1562.000","2684.821","6529.500","7544.000","482.000","0.016","330090","1972","37","835534","108478","1","50414","7","0","0","506155","15","131270","2","0","0","39217","12","547151","30","","","","","","0","0","0","0","0","0","0","1790","0","0","0","182","0","0","0","0","25022","3 resources found","1 element found"
"https://www.bettersleep.com/es/partners/","Success","","17","5644.000","8809.828","14130.000","16149.500","8618.500","0.057","2881058","8344","35","2624578","852118","1","1095738","6","0","0","506226","15","131286","2","0","0","39210","11","548290","31","","","","","","0","0","3410","0","0","0","0","1200","3410","0","0","324","0","0","0","6820","25019","","1 element found"
