"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/page/12/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/34/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/22/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/44/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/world-health-day-what-sleep-tips-the-who-recommends/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/fr/blog/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/7/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/9/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/25/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/13/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/35/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/15/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/27/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/37/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/3/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-the-cdc-has-to-say-about-sleep/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/29/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/39/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/17/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/19/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/5/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/sons-para-dormir/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/sleep-sounds/nature-sounds-to-fall-asleep/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/fr/meditationpourdormir/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/sleep-sounds/white-noises/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/blog/what-are-circadian-rhythms/","0","3","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-much-sleep-do-you-actually-need/","0","3","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/sleeptherapydeepcalm/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/easingmindawareness/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/bodyscanbedtime/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
