"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://www.risescience.com/blog/drinking-water-before-bed","text/html","200","OK","5","2"
"https://www.ahajournals.org/doi/10.1161/HYPERTENSIONAHA.120.14479","text/html; charset=utf-8","302","Found","5","2"
"https://www.sleepfoundation.org/mental-health/trauma-and-sleep","text/html; charset=UTF-8","200","OK","5","2"
"https://www.parentingscience.com/parenting-stress-evidence-based-tips.html","text/html; charset=iso-8859-1","301","Moved Permanently","5","2"
"https://pubmed.ncbi.nlm.nih.gov/32717974/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://dictionaryblog.cambridge.org/2020/11/24/cambridge-dictionarys-word-of-the-year-2020/","text/html; charset=UTF-8","200","OK","3","2"
"https://journals.lww.com/neurotodayonline/fulltext/2020/07090/sleep_neurologists_call_it.1.aspx","text/html; charset=utf-8","200","OK","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3150158/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://support.ipnos.com/","text/html; charset=utf-8","302","Found","2","1012"
"https://pubmed.ncbi.nlm.nih.gov/34425251/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.nationalcenterforemotionalwellness.org/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.cpsc.gov/SafeSleep","text/html; charset=UTF-8","200","OK","5","2"
"https://journals.sagepub.com/doi/10.1177/2156587216668109","text/html; charset=UTF-8","503","Service Temporarily Unavailable","5","2"
"https://www.apa.org/monitor/2011/12/exercise","text/html; charset=utf-8","200","OK","5","2"
"https://www.cambridge.org/core/journals/international-psychogeriatrics/article/randomized-controlled-trial-of-kundalini-yoga-in-mild-cognitive-impairment/138A3EB97520CE72B01D17059B7AA286","text/html; charset=utf-8","200","OK","5","2"
"https://www.mouthhealthy.org/en/az-topics/t/teething","text/html; charset=utf-8","200","OK","5","2"
"https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2869.2008.00718.x","text/html; charset=UTF-8","503","Service Temporarily Unavailable","5","2"
"https://www.cdc.gov/alcohol/faqs.htm","text/html","200","OK","5","2"
"https://psycnet.apa.org/record/2010-10257-015","text/html; charset=UTF-8","200","OK","5","2"
"https://www.ijoy.org.in/article.asp?issn=0973-6131;year=2017;volume=10;issue=2;spage=73;epage=80;aulast=Garcia-Sesnich","text/html; Charset=windows-1252","200","OK","5","2"
"https://www.instagram.com/bettersleep_br/","text/html; charset=utf-8","302","Found","3","36"
"https://www.ncbi.nlm.nih.gov/books/NBK207191/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5409706/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://twitter.com/bettersleephq","text/html; charset=utf-8","200","OK","2","918"
"https://pubmed.ncbi.nlm.nih.gov/22608285/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.inquirer.com/philly/living/bedtime-stories-adults-grown-ups-insomnia-20170920.html","text/html; charset=utf-8","200","OK","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4544395/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://pubmed.ncbi.nlm.nih.gov/23992533/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://intermountainhealthcare.org/blogs/topics/intermountain-moms/2018/11/how-and-when-to-swaddle-your-baby/","text/html; charset=utf-8","200","OK","5","4"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5241970/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820066/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.1027","text/html; charset=UTF-8","503","Service Temporarily Unavailable","5","2"
"https://www.hopkinsmedicine.org/health/wellness-and-prevention/your-bedroom-for-better-sleep","text/html; charset=utf-8","200","OK","5","2"
"https://www.karger.com/Article/Fulltext/508055","text/html; charset=utf-8","200","OK","5","2"
"https://www.sciencedaily.com/releases/2017/06/170605085326.htm","text/html","200","OK","5","2"
"https://health.clevelandclinic.org/can-restless-leg-syndrome-affect-other-parts-of-your-body/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.timesnownews.com/spiritual/dreams-meaning/article/what-does-it-mean-when-you-dream-about-flying-in-the-air/562914","text/html; charset=UTF-8","200","OK","5","2"
"https://www.sciencedirect.com/science/article/abs/pii/S0197455605000699?via%3Dihub","text/html; charset=utf-8","200","OK","5","2"
"https://pubmed.ncbi.nlm.nih.gov/8022726/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1474709/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://resilienteducator.com/teaching-careers/behavioral-health-specialist/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.karger.com/Article/FullText/478759","text/html; charset=utf-8","200","OK","5","2"
"https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2110998?hc_location=ufi","text/html","403","Forbidden","5","2"
"https://aasm.org/brain-damage-caused-by-severe-sleep-apnea-is-reversible/","text/html; charset=UTF-8","200","OK","5","4"
"https://clinicalnutritionespen.com/article/S2405-4577(17)30514-4/fulltext","text/html; charset=utf-8","302","Found","5","2"
"https://www.frontiersin.org/articles/10.3389/fneur.2015.00123/full","text/html; charset=utf-8","200","OK","5","2"
"https://www.sleepfoundation.org/mattress-information/do-you-need-a-box-spring","text/html; charset=UTF-8","200","OK","5","4"
"https://psu.pb.unizin.org/kines082/chapter/yoga-and-tai-chi/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.mayoclinic.org/diseases-conditions/obstructive-sleep-apnea/symptoms-causes/syc-20352090","text/html; charset=utf-8","200","OK","5","2"
"https://www.yogajournal.com/meditation/everything-need-know-meditation-posture/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.sleepfoundation.org/stages-of-sleep/rem-sleep","text/html; charset=UTF-8","200","OK","5","6"
"https://bettersleep.org/research/sleep-surveys/survey-american-couples-have-trouble-in-bed/","text/html; charset=UTF-8","301","Moved Permanently","5","2"
"https://www.ncbi.nlm.nih.gov/pubmed/28530462","text/html; charset=iso-8859-1","302","Found","5","3"
"https://www.nejm.org/doi/full/10.1056/NEJM199604043341416","text/html; charset=utf-8","302","Found","5","2"
"https://www.youtube.com/c/BetterSleepFrançais","text/html; charset=utf-8","200","OK","3","18"
"https://www.thensf.org/good-light-bad-light-and-better-sleep/","text/html; charset=UTF-8","200","OK","5","2"
"https://kidshealth.org/en/parents/sleepwalking.html","text/html;charset=utf-8","200","OK","5","4"
"https://www.spine-health.com/wellness/sleep/chronic-pain-and-insomnia-breaking-cycle","text/html; charset=utf-8","200","OK","5","2"
"https://www.cdc.gov/flu/about/season/flu-season.htm","text/html","200","OK","5","2"
"https://www.mhanational.org/issues/state-mental-health-america","text/html; charset=UTF-8","200","OK","5","2"
"https://www.youtube.com/embed/Pov1LXYJBzk?list=PLThtD9dhL7GWSJikDw4ls7LqjRtdX8FO9","text/html; charset=utf-8","200","OK","5","0"
